"Transaction Date","Type","Market","Amount","Rate inc. fee","Rate ex. fee","Fee","Fee AUD (inc GST)","GST AUD","Total AUD","Total (inc GST)"
07/08/2021 08:49 PM,Buy,ETH/AUD,1.1538923,4333.16000000,4290.25746121,49.50495050 AUD,49.50,4.50,5000.00,5000.00 AUD
01/08/2021 01:49 PM,Buy,ETH/AUD,0.27130047,3685.95000000,3649.45556453,9.90099010 AUD,9.90,0.90,1000.00,1000.00 AUD
01/08/2021 05:55 AM,Buy,ETH/AUD,0.28783769,3474.18000000,3439.78236450,9.90099010 AUD,9.90,0.90,1000.00,1000.00 AUD
18/07/2021 12:48 AM,Buy,ETH/AUD,0.37808612,2644.90000000,2618.71292684,9.90099010 AUD,9.90,0.90,1000.00,1000.00 AUD
27/05/2021 10:29 AM,Sell,AST/AUD,1695.82352582,0.28091600,0.28375354,4.81195921 AUD,4.81,0.44,476.38,476.38396158 AUD
27/05/2021 10:29 AM,Sell,DOGE/AUD,2142.21294881,0.44335800,0.44783636,9.59360857 AUD,9.59,0.87,949.77,949.76724856 AUD
26/05/2021 12:23 PM,Buy,AST/AUD,1695.82352582,0.29484200,0.29192277,4.95049505 AUD,4.95,0.45,500.00,500.00 AUD
26/05/2021 12:06 PM,Buy,DOGE/AUD,2142.21294881,0.46680700,0.46218515,9.90099010 AUD,9.90,0.90,1000.00,1000.00 AUD
26/05/2021 12:03 PM,Sell,ETH/AUD,0.29282233,3562.66000000,3598.64646465,10.53764043 AUD,10.54,0.96,1043.23,1043.22640220 AUD
26/05/2021 12:02 PM,Sell,BTC/AUD,0.02137621,49848.32000000,50351.83838384,10.76331471 AUD,10.76,0.98,1065.57,1065.56815647 AUD
25/05/2021 01:06 PM,Buy,ETH/AUD,0.29282233,3415.04000000,3381.22782474,9.90099010 AUD,9.90,0.90,1000.00,1000.00 AUD
24/05/2021 03:20 PM,Buy,BTC/AUD,0.02137621,46780.96000000,46317.79954917,9.90099010 AUD,9.90,0.90,1000.00,1000.00 AUD
08/05/2018 05:36 PM,Sell,XMR/AUD,0.12098043,305.55000000,308.63636364,0.37338960 AUD,0.37,0.03,36.97,36.96557039 AUD
08/05/2018 05:36 PM,Sell,XRP/AUD,150,1.10104100,1.11216263,1.66824394 AUD,1.67,0.15,165.16,165.15615000 AUD
08/05/2018 05:35 PM,Sell,MIOTA/AUD,160.05567679,3.07184500,3.10287374,4.96632556 AUD,4.97,0.45,491.67,491.66623047 AUD
08/05/2018 05:35 PM,Sell,ADA/AUD,54.51611496,0.44206500,0.44653030,0.24343097 AUD,0.24,0.02,24.10,24.09966636 AUD
08/05/2018 05:35 PM,Sell,BTC/AUD,0.04974771,12410.36000000,12535.71717172,6.23623223 AUD,6.24,0.57,617.39,617.38699028 AUD
08/05/2018 05:34 PM,Sell,XLM/AUD,30.09279112,0.52949500,0.53484343,0.16094932 AUD,0.16,0.01,15.93,15.93398243 AUD
24/01/2018 02:25 PM,Buy,XLM/AUD,30.09279112,0.66461100,0.64525340,0.58252427 AUD,0.58,0.05,20.00,20.00 AUD
24/01/2018 02:25 PM,Sell,MIOTA/AUD,5,3.04485800,3.13902887,0.47085433 AUD,0.47,0.04,15.22,15.22429000 AUD
24/01/2018 02:23 PM,Buy,ADA/AUD,54.51611496,0.73372800,0.71235728,1.16504854 AUD,1.17,0.11,40.00,40.00 AUD
24/01/2018 02:23 PM,Buy,XMR/AUD,0.12098043,413.29000000,401.25242787,1.45631074 AUD,1.46,0.13,50.00,50.00 AUD
22/01/2018 09:12 AM,Buy,BTC/AUD,0.03170072,15772.51000000,15463.24509163,9.80392006 AUD,9.80,0.89,500.00,500.00 AUD
17/01/2018 03:51 PM,Buy,MIOTA/AUD,20.34631048,3.68617200,3.57880777,2.18446602 AUD,2.18,0.20,75.00,75.00 AUD
12/01/2018 08:36 AM,Buy,MIOTA/AUD,50,5.39682000,5.23963107,7.85944660 AUD,7.86,0.71,269.84,269.84 AUD
12/01/2018 08:35 AM,Buy,XRP/AUD,150,2.97108800,2.88455146,12.98048155 AUD,12.98,1.18,445.66,445.66 AUD
13/12/2017 12:27 PM,Buy,MIOTA/AUD,15.03377111,6.65169100,6.45795243,2.91262136 AUD,2.91,0.26,100.00,100.00 AUD
08/12/2017 11:38 AM,Buy,MIOTA/AUD,63.72395801,6.27707400,6.09424660,11.65048544 AUD,11.65,1.06,400.00,400.00 AUD
08/12/2017 10:45 AM,Buy,MIOTA/AUD,15.95163719,6.26894900,6.08635825,2.91262136 AUD,2.91,0.26,100.00,100.00 AUD
07/12/2017 12:26 PM,Buy,BTC/AUD,0.01804699,22164.36000000,21729.76469087,7.84313692 AUD,7.84,0.71,400.00,400.00 AUD
07/10/2017 11:46 PM,Sell,BTC/AUD,0.01503576,5593.64000000,5707.79591837,1.71642099 AUD,1.72,0.16,84.10,84.10462857 AUD
18/08/2017 10:46 AM,Sell,BTC/AUD,0.01,5695.65000000,5811.88775510,1.16237755 AUD,1.16,0.11,56.96,56.95650000 AUD
